Bai,STT,Nghia_Tieng_Viet,Dap_An_Tieng_Nhat,Han_Tu,Han_Viet
15,23,đặc biệt,,特に,
15,24,"nhớ lại, hồi tưởng",,思い出します,
15,25,gia đình của người khác,,ご家族,
15,26,thể kính trọng của います,,,
15,27,trường trung học phổ thông,,高校,
15,28,"Nihonbashi, tên một khu phố buôn bán ở Osaka",,日本橋,
16,1,"đi, lên tàu",,［電車に～］乗ります,
16,2,xuống tàu,,［電車を～］降ります,
16,3,"chuyển tàu, đổi tàu",,乗り換えます,
16,4,tắm vòi hoa sen,,［シャワーを～］浴びます,
16,5,"cho vào, bỏ vào",,入れます,
16,6,"lấy ra, rút tiền",,出します,
16,7,"vào đại học, nhập học đại học",,［大学に～］入ります,
16,8,"ra khỏi đại học, tốt nghiệp đại học",,［大学を～］出ます,
16,9,"bỏ việc, thôi việc ở công ty",,［会社を～］辞めます,
16,10,"bấm, ấn nút",,押します,
16,11,trẻ,,若い,
16,12,dài,,長い,
16,13,ngắn,,短い,
16,14,sáng,,明るい,
16,15,tối,,暗い,
16,16,"cao, dùng cho người",,背が高い,
16,17,thông minh,,頭がいい,
16,18,"người, cơ thể",,体,
16,19,đầu,,頭,
16,20,tóc,,髪,
16,21,mặt,,顔,
16,22,mắt,,目,
16,23,tai,,耳,
16,24,miệng,,口,
16,25,răng,,歯,
16,26,bụng,,お腹,
16,27,chân,,足,
16,28,dịch vụ,,,
16,29,chạy bộ,,,
16,30,vòi hoa sen,,,
16,31,màu xanh lá cây,,緑,
16,32,chùa,,［お］寺,
16,33,đền thờ Thần đạo,,神社,
16,34,"lưu học sinh, du học sinh",,留学生,
16,35,"số một, nhất",,一番,
16,36,làm thế nào,,,
16,37,"cái nào ~, dùng khi có từ ba lựa chọn trở lên",,,
16,38,"Không, tôi còn kém lắm",,,
16,39,Anh/chị rút tiền ạ?,,お引き出しですか,
16,40,"trước hết, đầu tiên",,,
16,41,"thẻ ngân hàng, thẻ ATM",,,
16,42,"mã số bí mật, mật khẩu",,暗証番号,
16,43,tiếp theo,,次に,
16,44,"số tiền, khoản tiền",,金額,
16,45,"sự xác nhận, sự kiểm tra",,確認,
16,46,nút,,,
16,47,công ty đường sắt Nhật Bản,,,
16,48,châu Á,,,
16,49,"Bandung, một địa danh ở Indonesia",,,
16,50,"Veracruz, một địa danh ở Mexico",,,
16,51,"Franken, một địa danh ở Đức",,,
16,52,Việt Nam,,,
16,53,Huế,,,
16,54,tên một điểm dừng xe buýt giả tưởng,,大学前,
17,1,nhớ,,,
17,2,quên,,,
17,3,"mất, đánh mất",,,
17,4,nộp báo cáo,,,
17,5,trả tiền,,,
17,6,trả lại,,,
17,7,ra ngoài,,,
17,8,"cởi quần áo, cởi giày",,,
17,9,"mang đi, mang theo",,,
17,10,mang đến,,,
17,11,lo lắng,,,
17,12,"làm thêm, làm quá giờ",,,
17,13,đi công tác,,,
17,14,uống thuốc,,,
17,15,"tắm bồn, vào bồn tắm",,,
17,16,"quan trọng, quý giá",,,
17,17,"không sao, không có vấn đề gì",,,
17,18,nguy hiểm,,,
17,19,vấn đề,,,
17,20,câu trả lời,,,
17,21,cấm hút thuốc,,,
17,22,thẻ bảo hiểm y tế,,,
17,23,"cảm, cúm",,,
17,24,sốt,,,
17,25,"ốm, bệnh",,,
17,26,thuốc,,,
17,27,bồn tắm,,,
17,28,áo khoác,,,
17,29,quần áo lót,,,
17,30,"thầy, cô",,,
17,31,vài ngày,,,
17,32,trước ~,,,
17,33,vì thế,,,
17,34,Có vấn đề gì?,,,
17,35,Tôi bị đau họng.,,,
17,36,Anh/chị nhớ giữ gìn sức khỏe.,,,
18,1,có thể,,,
18,2,rửa,,,
18,3,chơi nhạc cụ,,,
18,4,hát,,,
18,5,"sưu tầm, thu thập",,,
18,6,"vứt, bỏ đi",,,
18,7,đổi,,,
18,8,lái xe,,,
18,9,đặt chỗ,,,
18,10,tham quan học tập,,,
18,11,đàn piano,,,
18,12,mét,,,
18,13,quốc tế,,,
18,14,tiền mặt,,,
18,15,sở thích,,,
18,16,nhật ký,,,
18,17,cầu nguyện,,,
18,18,tổ trưởng,,,
18,19,trưởng phòng,,,
18,20,giám đốc,,,
18,21,động vật,,,
18,22,ngựa,,,
18,23,thế à,,  ,
18,24,Hay thật nhỉ,,,
18,25,khó mà,,,
18,26,trang trại,,,
18,27,Thật không,,,
18,28,nhất định,,,
18,29,Beatles,,,
19,1,leo núi,,,
19,2,trọ khách sạn,,,
19,3,dọn vệ sinh,,,
19,4,giặt,,,
19,5,luyện tập,,,
19,6,trở thành,,,
19,7,buồn ngủ,,,
19,8,mạnh,,,
19,9,yếu,,,
19,10,tình trạng tốt,,,
19,11,tình trạng xấu,,,
19,12,tình trạng,,,
19,13,golf,,,
19,14,Sumo,,,
19,15,Pachinko,,,
19,16,trà,,,
19,17,ngày,,,
19,18,một lần,,,
19,19,chưa lần nào,,,
19,20,dần dần,,,
19,21,sắp,,,
19,22,cảm ơn,,,
19,23,nâng cốc,,,
19,24,thật ra,,,
19,25,ăn kiêng,,,
19,26,nhiều lần,,,
19,27,nhưng,,,
19,28,quá sức,,,
19,29,tốt cho sức khỏe,,,
19,30,bánh ngọt,,,
19,31,Katsushika Hokusai,,,
20,1,cần visa,,,
20,2,tìm hiểu,,,
20,3,sửa,,,
20,4,tu sửa,,,
20,5,gọi điện,,,
20,6,tớ,,,
20,7,cậu,,,
20,8,#NAME?,,,
20,9,ừ,,,
20,10,không,,,
20,11,nhân viên công ty,,,
20,12,"từ, tiếng",,,
20,13,giá cả,,,
20,14,kimono,,,
20,15,visa,,,
20,16,ban đầu,,,
20,17,kết thúc,,,
20,18,phía này,,,
20,19,phía đó,,,
20,20,phía kia,,,
20,21,phía nào,,,
20,22,hôm nọ,,,
20,23,mọi người cùng,,,
20,24,nhưng,,,
20,25,về nước không,,,
20,26,tính sao,,,
20,27,để tôi xem,,,
20,28,nếu thích,,,
20,29,nhiều thứ,,,
21,1,nghĩ,,,
21,2,nói,,,
21,3,đủ,,,
21,4,thắng,,,
21,5,thua,,,
21,6,được tổ chức,,,
21,7,giúp ích,,,
21,8,lãng phí,,,
21,9,bất tiện,,,
21,10,giống,,,
21,11,ghê quá,,,
21,12,thủ tướng,,,
21,13,tổng thống,,,
21,14,chính trị,,,
21,15,tin tức,,,
21,16,bài phát biểu,,,
21,17,trận đấu,,,
21,18,làm thêm,,,
21,19,ý kiến,,,
21,20,câu chuyện,,,
21,21,hài hước,,,
21,22,sự lãng phí,,,
21,23,thiết kế,,,
21,24,giao thông,,,
21,25,giờ cao điểm,,,
21,26,gần đây,,,
21,27,chắc,,,
21,28,chắc chắn,,,
21,29,thật sự,,,
21,30,không lắm,,,
21,31,về,,,
21,32,đành chịu,,,
21,33,lâu không gặp,,,
21,34,mời uống,,,
21,35,tôi phải xem,,,
21,36,tất nhiên,,,
21,37,kangaroo,,,
21,38,James Cook,,,
22,1,"mặc [áo sơ mi, v.v.]",,［シャツを～］着ます,
22,2,"đi, mặc [giày, quần âu, v.v.]",,［靴を～］はきます,
22,3,"đội [mũ, v.v.]",,［帽子を～］かぶります,
22,4,đeo [kính],,［眼鏡を～］かけます,
22,5,sinh ra,,生まれます,
22,6,áo khoác,,,
22,7,com-lê,,,
22,8,áo len,,,
22,9,mũ,,帽子,
22,10,kính,,眼鏡,
22,11,"tốt, rõ (chỉ mức độ)",,,
22,12,Chúc mừng.,,,
22,13,"phía này, đằng này, chỗ này, đây",,,
22,14,tiền thuê nhà,,家賃,
22,15,ừ~./ Để tôi xem./ Thế nào nhỉ.,,,
22,16,bếp kèm phòng ăn,,,
22,17,phòng kiểu Nhật,,和室,
22,18,chỗ để chăn gối trong một căn phòng kiểu Nhật,,押入れ,
22,19,"chăn, đệm",,布団,
22,20,nhà chung cư,,,
22,21,Pari,,,
22,22,Vạn Lý Trường Thành,,万里の長城,
22,23,Trung tâm phát triển hoạt động giải trí cho người dân,,余暇開発センター,
22,24,sách trắng về sử dụng thời gian rảnh rỗi,,レジャー白書,
23,1,hỏi [giáo viên],,［先生に～］聞きます,
23,2,vặn (núm),,回します,
23,3,chơi (nhạc cụ),,引きます,
23,4,đổi,,変えます,
23,5,"sờ, chạm vào [cửa]",,［ドアに～］触ります,
23,6,"ra, đi ra [tiền thừa ~]",,［お釣りが～］出ます,
23,7,"chuyển động, chạy [đồng hồ ~]",,［時計が～］動きます,
23,8,đi bộ [trên đường],,［道を～］歩きます,
23,9,"qua, đi qua [cầu]",,［橋を～］渡ります,
23,10,"chú ý, cẩn thận [với ô-tô]",,［車に～］気をつけます,
23,11,chuyển nhà,,引っ越しします,
23,12,cửa hàng đồ điện,,電気屋,
23,13,cửa hàng ~,,～屋,
23,14,"cỡ, kích thước",,,
23,15,âm thanh,,音,
23,16,"máy, máy móc",,機械,
23,17,núm vặn,,,
23,18,hỏng (bị hỏng),,故障,
23,19,đường,,道,
23,20,ngã tư,,交差点,
23,21,đèn tín hiệu,,信号,
23,22,góc,,角,
23,23,cầu,,橋,
23,24,bãi đỗ xe,,駐車場,
23,25,"thứ –, số – (biểu thị thứ tự)",,―目,
23,26,Tết (Dương lịch),,［お］正月,
23,27,Xin cám ơn anh/chị đã đãi tôi bữa cơm.,,,
23,28,tòa nhà,,建物,
23,29,thẻ đăng ký người nước ngoài,,外国人登録証,
23,30,Thái tử Shotoku (574-622),,聖徳太子,
23,31,Chùa Horyu-ji,,法隆寺,
23,32,tên một loại trà (giả tưởng),,元気茶,
23,33,tên một nhà ga (giả tưởng),,本田駅,
23,34,tên một bến xe buýt (giả tưởng),,図書館前,
24,1,"cho, tặng (tôi)",,,
24,2,dẫn đi,,連れて行きます,
24,3,dẫn đến,,連れて来ます,
24,4,"đưa đi, đưa đến, tiễn [một ai đó]",,［人を～］送ります,
24,5,giới thiệu,,紹介します,
24,6,"hướng dẫn, giới thiệu, dẫn đường",,案内します,
24,7,"giải thích, trình bày",,説明します,
24,8,pha [cà phê],,,
24,9,"ông nội, ông ngoại, ông",,,
24,10,"bà nội, bà ngoại, bà",,,
24,11,sự chuẩn bị [～します: chuẩn bị],,準備［～します］,
24,12,ý nghĩa,,意味,
24,13,bánh kẹo,,［お］菓子,
24,14,"toàn bộ, tất cả",,全部,
24,15,tự mình,,自分で,
24,16,"ngoài ra, còn gì/ai khác",,他に,
24,17,xe ô-tô chở khách loại nhỏ,,ワゴン車,
24,18,cơm hộp,,［お］弁当,
24,19,Ngày của Mẹ,,母の日,
25,1,"nghĩ, suy nghĩ",,考えます,
25,2,đến [ga],,［駅に～］着きます,
25,3,du học,,留学します,
25,4,"thêm tuổi, có tuổi",,［年を～］取ります,
25,5,"quê, nông thôn",,田舎,
25,6,đại sứ quán,,大使館,
25,7,"nhóm, đoàn",,,
25,8,cơ hội,,,
25,9,một trăm triệu,,億,
25,10,nếu [～ thì],,,
25,11,"cho dù, dù ～ thế nào đi nữa",,,
25,12,việc chuyển địa điểm làm việc [～します: chuyển công tác],,転勤［～します］,
25,13,"việc, chuyện [～のこと: việc ～]",,,
25,14,Chúng ta cùng uống nhé.,,一杯飲みましょう。,
25,15,Anh/chị đã giúp tôi rất nhiều.,,［いろいろ］お世話になりました。,
25,16,cố gắng,,頑張ります,
25,17,Chúc anh/chị mạnh khỏe.,,どうぞお元気で。,
25,18,Việt Nam,,,
